image_id,type,count
39c668c5d00de5c470c005fb2561198404f1a2d4,coins,1
475ec66fb638f0ac8277f7260e022332c355a601,coins,1
159d16c88e6f095544e215b2cef5c8e0d128ad46,faces,4
f288d5754599d3716c2b7c2ba6731a05f74880ab,faces,2
58aa5fa93b0b26d2efe735567801022ea900589c,faces,3
0ea697edbe4e3cee22ab14ee1abe062c2a193fa0,faces,3
f3ad237276c5847cc0b4170e88684de9ee952bcc,coins,20
786fdf94f621905744e0e938efe6f1e8e2165689,faces,3
81d3d0867e29213e65040c6c0ce61b0592e48665,faces,4
749e5d62c4b2365fcda04735664588b6dcc13066,faces,2
410e3f79aa7fcad25b14e9e6597a05b5684e7dd1,faces,4
8a3f0108b04a067f36447eed2a25d48e80a629a2,faces,5
1540d4c65b8a207bb17a6ee4df6a10fdbc21baab,faces,8
ce634314cc066e83886fdcbaff362916bc105183,faces,4
861daca1ae1269e74df87e87926c1cf441eac1e1,coins,4
6c1d2517c78f0403bcf242de1d805dd5eaf0549e,faces,2
8a87850e1ff0a5daed905bc4eaf303995247bedf,faces,3
165a32a1ade28dc8b28276ab65b3ad014080fd2f,faces,3
65f6bf23fe229dfcc3e72fdbe7aa29578d82c54b,faces,6
7817f90c0bbfea94a00f914dfe788f1f3cc18bd4,faces,4
010ae941edcb8c6dc171e0933434bdaafc0f079f,faces,3
53816f8fd241d530c7b9667fea522e1c39f07939,coins,15
b407a592a08c3bf1a8c2a74163b673cf13347f1c,faces,1
6971e1304579ed5824f1305a67b0025042cf80db,faces,2
5557ceb6397d4ceca588dbe7bbf922dbc2f8c7fc,coins,6
568c916ab3680ce229c8c953a66a61cfd2c2851f,faces,6
62727beea2e2636ddb6e4d2bd2101a6182b28a2d,coins,2
b6f1f76982321746fc49006e414d60bd573e79b0,faces,3
79f1b90e2311788f2bd6f47d852cf49fb42bdc7f,faces,3
19ea4d4cd7c119acd36bf01e706942fa62dfd14d,faces,10
9547101d46855441eb6df1e8fcdcc43d791a00b9,faces,3
9681c0399f100a9c25e25ad56f1a7d762ec2fe87,coins,1
29b9c9a09de3226c8a1d63e2a4f702211f0fe6d0,faces,2
0366d8e31a7667037938dba5b5d8adcd701921b0,faces,3
0ba33f1d4840162e371d202bc1ea3ae0044bbd29,faces,4
25190c1e646e2db5a778d725c75092f0ddfa86b5,faces,4
80428f244778994341f8f0b2d7a77102b5febad6,faces,5
d7c41483b12fd87096462d9eb174ed4b4392e492,faces,3
1f08ecbd55866ef23fd7b47547e77057988e8cac,faces,3
a1fb45ab334d8d66d4b2162715ad7df5e5fe5470,faces,4
b30de8bb567a95b1f1dce0b4e32136dc6b1d921e,faces,3
