image_id,type,brightness,contrast,faces_haar,faces_lbp,faces_hog,coins_hough,coins_watershed,coins_contours,total_contour_area,count
39c668c5d00de5c470c005fb2561198404f1a2d4,coins,98.55,46.73,0,0,0,94,7,2,33468.0,1
475ec66fb638f0ac8277f7260e022332c355a601,coins,89.2,60.98,0,0,0,118,4,2,50076.5,1
159d16c88e6f095544e215b2cef5c8e0d128ad46,faces,157.32,70.89,5,2,4,415,21,17,6228.5,4
f288d5754599d3716c2b7c2ba6731a05f74880ab,faces,93.08,58.21,1,0,1,388,2,14,4603.5,2
58aa5fa93b0b26d2efe735567801022ea900589c,faces,129.72,71.92,3,2,3,299,2,11,4619.5,3
0ea697edbe4e3cee22ab14ee1abe062c2a193fa0,faces,115.29,62.19,3,4,3,395,2,13,8490.5,3
f3ad237276c5847cc0b4170e88684de9ee952bcc,coins,181.54,55.84,0,0,0,104,5,1,39026.0,20
786fdf94f621905744e0e938efe6f1e8e2165689,faces,114.02,61.03,2,2,2,348,1,17,5437.5,3
81d3d0867e29213e65040c6c0ce61b0592e48665,faces,64.5,48.71,6,4,4,308,5,4,86735.0,4
749e5d62c4b2365fcda04735664588b6dcc13066,faces,115.78,57.28,3,1,2,418,11,22,10014.0,2
410e3f79aa7fcad25b14e9e6597a05b5684e7dd1,faces,146.84,58.49,3,1,4,380,5,19,17133.0,4
8a3f0108b04a067f36447eed2a25d48e80a629a2,faces,108.26,67.9,1,1,2,275,2,33,48619.0,5
1540d4c65b8a207bb17a6ee4df6a10fdbc21baab,faces,94.07,76.01,5,6,7,363,3,7,1200.5,8
ce634314cc066e83886fdcbaff362916bc105183,faces,100.53,51.37,3,1,3,425,11,3,545.5,4
861daca1ae1269e74df87e87926c1cf441eac1e1,coins,163.97,54.1,0,0,0,40,6,2,20811.5,4
6c1d2517c78f0403bcf242de1d805dd5eaf0549e,faces,169.67,70.46,2,1,2,393,13,20,8293.0,2
8a87850e1ff0a5daed905bc4eaf303995247bedf,faces,70.14,41.34,1,0,0,302,6,28,26887.0,3
165a32a1ade28dc8b28276ab65b3ad014080fd2f,faces,113.24,71.93,2,1,2,346,3,7,3539.0,3
65f6bf23fe229dfcc3e72fdbe7aa29578d82c54b,faces,131.26,62.4,3,2,4,309,2,28,6002.0,6
7817f90c0bbfea94a00f914dfe788f1f3cc18bd4,faces,24.41,44.01,2,1,3,209,1,26,52640.0,4
010ae941edcb8c6dc171e0933434bdaafc0f079f,faces,121.43,71.89,3,1,3,381,2,15,4468.5,3
53816f8fd241d530c7b9667fea522e1c39f07939,coins,79.6,29.31,1,0,0,103,16,14,31518.0,15
b407a592a08c3bf1a8c2a74163b673cf13347f1c,faces,158.64,78.8,0,0,0,275,6,17,19053.5,1
6971e1304579ed5824f1305a67b0025042cf80db,faces,107.67,68.86,1,1,2,391,3,10,12931.0,2
5557ceb6397d4ceca588dbe7bbf922dbc2f8c7fc,coins,146.22,40.19,0,0,0,125,1,0,0.0,6
568c916ab3680ce229c8c953a66a61cfd2c2851f,faces,166.44,72.9,4,2,4,362,6,17,21533.0,6
62727beea2e2636ddb6e4d2bd2101a6182b28a2d,coins,88.95,76.68,0,0,0,91,2,1,24759.0,2
b6f1f76982321746fc49006e414d60bd573e79b0,faces,149.51,63.28,2,0,0,334,2,2,253.0,3
79f1b90e2311788f2bd6f47d852cf49fb42bdc7f,faces,193.65,57.63,2,2,2,208,1,12,48021.0,3
19ea4d4cd7c119acd36bf01e706942fa62dfd14d,faces,117.2,78.87,11,7,9,404,3,9,2594.5,10
9547101d46855441eb6df1e8fcdcc43d791a00b9,faces,142.72,57.26,1,1,3,411,7,16,9104.0,3
9681c0399f100a9c25e25ad56f1a7d762ec2fe87,coins,88.52,46.47,0,0,0,62,2,1,22594.0,1
29b9c9a09de3226c8a1d63e2a4f702211f0fe6d0,faces,114.73,66.11,2,2,2,349,2,36,72898.0,2
0366d8e31a7667037938dba5b5d8adcd701921b0,faces,98.99,53.5,1,0,2,391,3,6,2643.5,3
0ba33f1d4840162e371d202bc1ea3ae0044bbd29,faces,167.54,62.79,1,1,1,335,2,26,12355.5,4
25190c1e646e2db5a778d725c75092f0ddfa86b5,faces,85.74,50.07,4,4,4,275,4,20,58074.0,4
80428f244778994341f8f0b2d7a77102b5febad6,faces,48.61,39.67,4,2,4,234,3,24,52916.0,5
d7c41483b12fd87096462d9eb174ed4b4392e492,faces,146.89,80.38,1,0,1,397,10,12,3968.5,3
1f08ecbd55866ef23fd7b47547e77057988e8cac,faces,169.2,65.12,3,2,3,389,2,36,29890.0,3
a1fb45ab334d8d66d4b2162715ad7df5e5fe5470,faces,108.45,74.37,1,1,1,390,2,14,7615.0,4
b30de8bb567a95b1f1dce0b4e32136dc6b1d921e,faces,77.92,57.35,1,0,2,396,4,17,6823.5,3
3228c96d91e57b2fae2f0c73e183b9a93f8cc08b,coins,217.34,50.27,0,0,0,90,28,8,21938.5,26
9d49c63daf1e9aef86dcd81821bac6446095e981,faces,83.49,56.5,4,3,5,398,8,10,4418.5,7
c764c54139f92f6140992e3027ca21b8d1e7b54b,coins,197.6,59.26,0,0,0,113,25,2,40743.5,24
0ae9da8908b42b15c07a30ab70949fabd6b55a88,faces,83.9,67.68,2,1,1,311,4,11,3201.5,3
b2b227ff5525719530258090f66481ebccc76b13,faces,162.73,71.23,3,3,3,375,1,20,4971.0,4
3c868ce87e86bbd26b73aa1fd4045228085416b5,coins,36.2,51.97,1,0,0,85,2,2,11951.0,2
9bea4eb1285a3c2045d5da8cfcb33b829fd2b2ee,faces,103.68,51.74,3,3,3,302,3,11,4606.0,4
a3d561236cd429986d31c897c1d6b1743291a9a6,faces,88.62,76.87,8,6,6,386,4,6,2021.0,7
f37cb8a86fe016605383afa19f706582ad18b215,faces,88.13,71.77,2,2,3,368,4,14,3177.0,5
5954ee11ae22adee0dc8b23982e7ce59322cc377,faces,154.29,63.5,2,1,3,434,6,3,761.0,4
f3981353c2e4d92edc8da04bc714deb158473a15,faces,77.36,46.91,3,0,2,305,3,4,619.5,2
91d267f48193037124bdbfdb0fcaa18c9c7aee01,faces,173.93,56.35,1,2,2,382,5,20,27489.5,4
b6b20c649e4768c0a0cfc91254d452da7925fc9b,faces,113.7,71.31,0,0,0,364,5,8,2303.5,3
18349782a2415041f50315e45d20095eeb0e705d,coins,183.16,60.62,0,0,0,81,13,2,23316.0,2
41fdca864db0cd720912dc9cacd3725c7a2d7ab3,faces,97.49,69.15,3,1,3,289,2,9,8652.0,3
5cd2ad837effb8bd053bcfd2cd5125dc56b5391f,faces,184.9,74.63,2,2,2,275,1,12,6874.0,4
c8c902a567d4a7e6bc55e77960e045c05738f90b,faces,169.81,60.88,6,4,6,365,6,15,6379.5,6
8a68fe09efafd1a77d94d795b38883b6e0ec61fd,faces,203.95,53.11,2,1,5,335,4,12,22347.5,5
2c145538764bdb5b41ccedec891ecd959a3a54e2,faces,136.07,67.98,1,2,0,381,3,22,48923.5,5
5bd687039c22ccb02c0610778d324f57df654174,faces,121.66,78.21,2,3,6,356,7,10,2972.0,6
1f10b8b0a74db568c9bbc1ea0cde5a18a76d8ff6,coins,219.78,36.77,0,0,0,117,18,10,29551.0,8
391c27a7bef4a09bf756b524b89ab866ca4faab9,coins,196.45,68.33,0,0,0,93,40,8,32007.5,3
1208a27300fa041c3ce5577fcf9a2bbcc4a4844b,faces,131.07,74.23,3,3,3,378,5,37,39314.5,3
ecb6717e209bdd869c685f412d383dc0b5f96969,faces,106.8,81.13,5,2,4,375,3,7,1393.5,5
87c9df35b47622110e252a0faa427c5afb8db8ff,faces,159.61,55.66,1,0,3,367,6,22,15068.5,3
582c692b6e60d06923332f2b59ea54477a22e2ca,faces,180.5,76.13,1,0,0,325,1,8,1908.5,2
603007d8b858cdd693f37894d5f5b7aaea8d001e,faces,122.01,68.15,2,1,3,407,3,17,13563.0,4
2689b265ac9d30b01d64d5257b9c76d058a1c93f,coins,130.38,64.08,0,0,0,112,19,2,289.0,1
a413cf1d13f55197c4c7448591529957d302cafa,faces,141.42,51.28,3,3,4,411,10,15,6517.5,4
22779a5d6efdb0bc356301ab614075c1cfd74e4f,coins,177.67,43.31,0,0,0,72,5,2,22851.5,2
cef5481121aea1b5a8dbf774993ac5a1b5cfb5a2,faces,180.74,53.42,0,0,0,232,4,17,52544.0,3
da43e8268dcea40f526cac30f01c6f27864c1144,coins,206.99,63.02,0,0,0,100,16,4,31128.5,8
c53c63ca3e74368e1d8c8cd41576c9688e9270c2,faces,105.09,50.6,1,0,0,379,10,24,22632.5,5
657b44e8cda4d19c29a63ddece03b581a8dee736,faces,114.49,72.83,4,2,4,367,2,22,14843.0,5
450acf910dcfe0fd603c7270e34e71cc9bf1df37,faces,93.46,52.15,5,3,3,391,2,11,2753.0,5
6488e29f0ced672bf288b1c75d8b37f070d0c123,faces,119.11,62.7,3,3,3,345,2,22,7114.0,8
6fafd31b5ed4825f981697ebb6df55062def2389,coins,212.32,75.44,0,0,0,53,6,4,14207.5,3
30e5333792de23714bdf96ca81aa4e478f0f2205,faces,164.62,66.44,5,3,4,337,3,20,23282.0,4
393d28373099108fd5bd0036e137e27ad138aec0,faces,102.03,54.57,6,5,5,317,2,16,6322.5,5
29e3009b7b23c6ec9f20964bcc4b2530d7496de0,faces,176.62,41.03,1,0,1,311,1,20,13021.5,6
47207eeb7887fc1bcbb2a96f74318fdd3a6869eb,faces,91.21,57.68,2,2,3,365,1,17,4851.0,3
6673858ce5f1a92c41ce87480ab35c1b843d67ce,faces,57.86,59.88,3,3,5,362,3,7,2622.0,7
d9c2850b4020b4463440530309acad17a2ef7828,coins,180.27,74.54,0,0,0,97,14,1,34263.0,2
81acda7ad53d3fe297900b15c5937489a5d26145,faces,173.37,64.79,1,1,2,402,2,14,5433.5,5
0bdffc5332b38d86289366b01edc549e7561192f,faces,146.66,75.54,2,3,4,335,1,25,15916.5,4
91a84525332b91f1d3cfd3851610b1f3edd4b7b9,coins,223.02,37.17,0,0,0,95,14,2,31865.5,2
28b74751b63b0bfc30935eb1feaf76ff5a10981c,faces,156.07,78.42,4,4,3,367,1,21,4767.0,5
180f12c2cb8df10931a466e26dc2e530faaafd5c,faces,35.46,41.6,8,8,7,314,2,14,8679.0,11
5388367c84c9a1d394fd9837e3c9c1b6f082aaf3,coins,116.13,40.51,0,0,0,109,17,4,41207.0,8
a61a9371d177fcefc3ad0efc00617d4f03d79881,faces,108.86,68.05,4,3,5,400,5,15,7876.0,6
69f6207dc3cdb160e60b035c91ffc83ee66da599,faces,149.88,68.61,1,0,3,324,1,11,4912.5,3
6c7edc04d5c292e3c91852b89fc94081ca6f59a5,coins,114.52,81.93,0,0,0,109,3,1,1089.5,1
797699ca9528f0079be31a732b440ac6e23f48ba,faces,157.5,73.36,0,1,3,321,2,11,12153.5,3
d6ed0d183b4e0cd58ac5eed9bf19a2526408b836,faces,131.8,67.87,1,1,2,424,1,7,4066.0,4
8977faec340d505dea4afc8e93bb5a8579e07716,faces,120.63,67.92,1,0,0,348,2,13,3107.0,2
127c9da9d3574975968760f4fc391c1eb4c98d22,faces,162.25,70.21,1,0,3,370,3,9,18570.5,4
578f213807f7edbb4a831e66dc1f54b2f9893563,faces,155.2,63.98,5,1,5,255,2,6,4543.0,6
1560383ba1246352780c654cdcef25db89fc6371,faces,201.67,51.63,2,3,2,322,3,6,1010.0,6
cc952a8137b3317028694f31c3c73353b607d816,faces,134.22,66.89,3,1,4,417,3,4,557.0,4
baa180739dc2f709a42d7379ff431b970c40c08c,faces,129.84,69.26,2,1,1,301,5,19,4619.0,3
460082074960997f91175b470a8f95adb129c3e1,coins,165.1,69.42,0,0,0,94,4,0,0.0,4
681d841e3b3242a5c56bfc8c4987b8491eda90f0,faces,162.81,59.29,1,1,2,241,3,31,57734.5,2
7ea6bba26a82ec7c663b68bd31e7e5d5bad6a19f,faces,128.09,64.38,2,2,3,382,2,15,3622.5,5
23ae7de879995bf35925dfe4fcaf7bae22882484,faces,89.84,58.13,0,0,0,430,3,3,358.5,4
6e1e431f632cea7a1e910e13891494517c55fe3d,coins,165.76,42.13,0,0,0,115,10,12,34218.0,11
355a7ef7ccd9bfcba06dc1ba9203a08f591161a2,faces,139.51,68.03,1,0,1,420,5,18,4742.5,3
6d11f5887ca47813959bb2c55e6d76e5335ca097,faces,118.55,68.64,3,0,0,334,3,28,17316.5,3
dce6b4a32687743436d71a8cb1a26af2433daea8,faces,125.14,76.0,2,1,2,341,2,11,37574.5,3
8ef966bec5870a40dfad43e3de491948d5336a1d,faces,108.66,70.05,2,1,1,382,1,18,11084.5,2
8ee404f5f45b45b1d2bdc0b94f6f9039beda5072,faces,65.9,57.3,5,2,3,356,4,10,2874.0,14
0f85e31a2034b26c1316e84493a9b5781009e3e0,faces,47.39,43.09,7,6,7,289,1,29,54728.0,7
17d881f6ddfbc4a41a1c6316bd2a36a21ac649ac,faces,117.75,54.33,0,0,2,395,2,28,38663.5,5
